epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,136.072,0.36216,0.53329,1.0065,0.88659,0.94889,0.98591,0.94434,0.3335,0.79351,0.87198,0.000709809,0.000709809,0.000709809
60,138.457,0.34431,0.53906,0.96222,0.88774,0.98882,0.995,0.95316,0.3311,0.74592,0.87861,0.000693305,0.000693305,0.000693305
61,140.724,0.33852,0.49314,0.95615,0.89574,0.99803,0.995,0.95447,0.32377,0.67119,0.88446,0.000676802,0.000676802,0.000676802
62,143.158,0.32034,0.49466,0.93514,0.94103,1,0.995,0.95345,0.32497,0.59536,0.89615,0.000660299,0.000660299,0.000660299
63,145.379,0.35805,0.51034,0.96085,0.97275,1,0.995,0.96048,0.32914,0.56823,0.90096,0.000643795,0.000643795,0.000643795
64,147.599,0.33438,0.49648,0.98972,0.9846,1,0.995,0.94618,0.33834,0.55277,0.90248,0.000627292,0.000627292,0.000627292
65,149.837,0.33898,0.4702,0.94698,0.98833,1,0.995,0.96038,0.34742,0.54008,0.90442,0.000610789,0.000610789,0.000610789
66,152.079,0.32012,0.48322,0.94004,0.96367,1,0.995,0.93582,0.3475,0.55574,0.90028,0.000594286,0.000594286,0.000594286
67,154.347,0.31216,0.49526,0.9598,0.89839,1,0.995,0.93542,0.34762,0.61514,0.89705,0.000577782,0.000577782,0.000577782
68,156.715,0.31458,0.4561,0.95162,0.88072,1,0.995,0.93878,0.34516,0.68152,0.89401,0.000561279,0.000561279,0.000561279
69,158.913,0.33614,0.47695,0.95815,0.88553,1,0.995,0.95251,0.34287,0.668,0.89203,0.000544776,0.000544776,0.000544776
70,161.105,0.33499,0.4497,0.9747,0.87316,1,0.995,0.95188,0.34873,0.60588,0.89223,0.000528272,0.000528272,0.000528272
71,163.378,0.31406,0.46104,0.94744,0.93731,1,0.995,0.94387,0.33188,0.56295,0.88344,0.000511769,0.000511769,0.000511769
72,165.64,0.36385,0.48111,0.98938,0.98949,1,0.995,0.95318,0.31628,0.52006,0.87269,0.000495266,0.000495266,0.000495266
73,167.914,0.32165,0.47817,0.96232,0.99262,1,0.995,0.95962,0.3086,0.48516,0.87002,0.000478762,0.000478762,0.000478762
74,170.157,0.32448,0.4901,0.97204,0.9931,1,0.995,0.95769,0.29823,0.48737,0.86755,0.000462259,0.000462259,0.000462259
75,172.402,0.31127,0.45012,0.96909,0.99411,1,0.995,0.96567,0.29204,0.48444,0.86635,0.000445756,0.000445756,0.000445756
76,174.824,0.27406,0.43745,0.93038,0.99157,1,0.995,0.95765,0.29304,0.46328,0.86783,0.000429253,0.000429253,0.000429253
77,177.01,0.30855,0.45605,0.96602,0.97767,1,0.995,0.96732,0.2789,0.47352,0.85844,0.000412749,0.000412749,0.000412749
78,179.187,0.29993,0.43399,0.93386,0.96069,0.95366,0.995,0.9656,0.26892,0.48156,0.84747,0.000396246,0.000396246,0.000396246
79,181.314,0.28535,0.41241,0.9476,0.98466,0.9063,0.995,0.98102,0.25781,0.52324,0.83861,0.000379743,0.000379743,0.000379743
80,183.563,0.31517,0.44444,0.94006,0.88675,0.99365,0.995,0.98002,0.25851,0.57143,0.83814,0.000363239,0.000363239,0.000363239
81,185.819,0.28058,0.44152,0.92764,0.88395,1,0.995,0.97647,0.26154,0.55709,0.84383,0.000346736,0.000346736,0.000346736
82,188.048,0.28926,0.44261,0.96371,0.91145,1,0.995,0.98202,0.26144,0.49551,0.84723,0.000330233,0.000330233,0.000330233
83,190.353,0.26987,0.43617,0.91697,0.98404,1,0.995,0.97475,0.25675,0.45971,0.84601,0.000313729,0.000313729,0.000313729
84,192.746,0.25553,0.40732,0.91756,0.99227,1,0.995,0.98002,0.25223,0.4418,0.84234,0.000297226,0.000297226,0.000297226
